model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Llama_3.3_70B_instruct,random6741,random,2.0,Curiosity. There is,-0.6628133058547974,0,1,Curiosity:0.88  Calm:0.08  curiosity:0.01  I:0.01  There:0.00,0.0
Llama_3.3_70B_instruct,random6741,random,3.0,Curiosity. There is,-0.5276812091469765,0,1,Curiosity:0.67  Calm:0.17  I:0.10  There:0.01  curiosity:0.01,0.0
Llama_3.3_70B_instruct,random6741,random,4.0,Curiosity. I feel,-0.22574420273303986,0,1,Curiosity:0.39  I:0.23  Calm:0.16  There:0.10  Peace:0.02,0.0
Llama_3.3_70B_instruct,random6741,random,5.0,I feel something deeper than,-0.22887505404651165,0,1,I:0.32  There:0.29  The:0.11  In:0.02  That:0.02,0.0
Llama_3.3_70B_instruct,random7361,random,1.0,Curiosity. There’s,-0.8149275109171867,0,1,Curiosity:0.87  Calm:0.06  Anticipation:0.03  Excitement:0.01  curiosity:0.01,0.0
Llama_3.3_70B_instruct,random7361,random,2.0,Curiosity. There’s,-0.7805577665567398,0,1,Curiosity:0.86  Calm:0.06  Anticipation:0.02  Excitement:0.02  I:0.01,0.0
Llama_3.3_70B_instruct,random7361,random,3.0,Curiosity. There’s,-0.5698190592229366,0,1,Curiosity:0.63  Calm:0.16  I:0.10  There’s:0.04  Excitement:0.02,0.0
Llama_3.3_70B_instruct,random7361,random,4.0,I feel curious. The,-0.15755483880639076,0,1,I:0.62  Curiosity:0.16  The:0.06  Calm:0.06  There’s:0.04,0.0
Llama_3.3_70B_instruct,random7361,random,5.0,I feel curious. The,0.1653383206576109,0,1,I:0.78  The:0.08  There:0.06  It:0.01  Curiosity:0.01,0.0
Llama_3.3_70B_instruct,random8592,random,1.0,Curiosity.,-1.0211896697680156,0,1,Curiosity:0.77  Calm:0.12  Anticipation:0.04  Excitement:0.03  curiosity:0.01,0.0
Llama_3.3_70B_instruct,random8592,random,2.0,Curiosity. There’s,-0.9458937495946884,0,1,Curiosity:0.73  Calm:0.13  Excitement:0.04  Anticipation:0.04  Expectation:0.01,0.0
Llama_3.3_70B_instruct,random8592,random,3.0,Curiosity. There’s,-0.8617056459188461,0,1,Curiosity:0.65  Calm:0.15  I:0.08  There’s:0.04  Excitement:0.02,0.0
Llama_3.3_70B_instruct,random8592,random,4.0,I feel calm and curious,-0.8221994861960411,0,1,I:0.74  Curiosity:0.09  There:0.05  The:0.03  Calm:0.01,0.0
Llama_3.3_70B_instruct,random8592,random,5.0,I feel something. That,-0.06788619607686996,0,1,I:0.64  No:0.08  Yes:0.05  The:0.05  There:0.03,0.0
Llama_3.3_70B_instruct,random9428,random,1.0,Curiosity. There’s,-0.6727408245205879,0,1,Curiosity:0.88  Calm:0.06  Anticipation:0.02  Excitement:0.01  curiosity:0.01,0.0
Llama_3.3_70B_instruct,random9428,random,2.0,Curiosity. There’s,-0.6054365551099181,0,1,Curiosity:0.83  Calm:0.10  Anticipation:0.02  Excitement:0.01  curious:0.00,0.0
Llama_3.3_70B_instruct,random9428,random,3.0,Curiosity. There’s,-0.5198373068124056,0,1,Curiosity:0.46  Calm:0.32  I:0.10  There’s:0.02  Peaceful:0.01,0.0
Llama_3.3_70B_instruct,random9428,random,4.0,I feel a quiet sense,-0.31093618273735046,0,1,I:0.53  Curious:0.09  Calm:0.09  Anxious:0.06  Concerned:0.04,0.0
Llama_3.3_70B_instruct,random9428,random,5.0,I feel a sense of,-0.038222504779696465,0,0,I:0.59  Yes:0.09  The:0.02  Good:0.01  My:0.01,0.0
Llama_3.3_70B_instruct,unsteered,unsteered,0.0,Curiosity.,-0.9673874179522196,0,1,Curiosity:0.87  Calm:0.07  Anticipation:0.02  Excitement:0.01  curiosity:0.01,0.0
